Dataset,Model,Class,Precision,Recall,F1-score,Support
Rice,RBF-SVM,Cammeo,0.9021406727828746,0.9049079754601227,0.9035222052067381,326.0
Rice,RBF-SVM,Osmancik,0.9287356321839081,0.926605504587156,0.9276693455797933,436.0
Rice,Random Forest,Cammeo,0.9174603174603174,0.8865030674846626,0.9017160686427457,326.0
Rice,Random Forest,Osmancik,0.9172259507829977,0.9403669724770642,0.928652321630804,436.0
Dry Bean,RBF-SVM,BARBUNYA,0.9104477611940298,0.9207547169811321,0.9155722326454033,265.0
Dry Bean,RBF-SVM,BOMBAY,1.0,1.0,1.0,104.0
Dry Bean,RBF-SVM,CALI,0.9244712990936556,0.9386503067484663,0.9315068493150684,326.0
Dry Bean,RBF-SVM,DERMASON,0.93952802359882,0.8984485190409027,0.9185291997116077,709.0
Dry Bean,RBF-SVM,HOROZ,0.967032967032967,0.946236559139785,0.9565217391304348,372.0
Dry Bean,RBF-SVM,SEKER,0.930622009569378,0.958128078817734,0.9441747572815534,406.0
Dry Bean,RBF-SVM,SIRA,0.8644688644688645,0.8956356736242884,0.8797763280521901,527.0
Dry Bean,Random Forest,BARBUNYA,0.916030534351145,0.9056603773584906,0.9108159392789373,265.0
Dry Bean,Random Forest,BOMBAY,1.0,1.0,1.0,104.0
Dry Bean,Random Forest,CALI,0.926829268292683,0.9325153374233128,0.9296636085626911,326.0
Dry Bean,Random Forest,DERMASON,0.9197707736389685,0.9055007052186178,0.9125799573560768,709.0
Dry Bean,Random Forest,HOROZ,0.9617486338797814,0.946236559139785,0.9539295392953929,372.0
Dry Bean,Random Forest,SEKER,0.919431279620853,0.9556650246305419,0.9371980676328503,406.0
Dry Bean,Random Forest,SIRA,0.8620037807183365,0.8652751423149905,0.8636363636363636,527.0
