Dataset,Model,Variety,Precision,Recall,F1-Score,Support
Rice,RBF-SVM,Cammeo,0.9021406727828746,0.9049079754601227,0.9035222052067381,326
Rice,RBF-SVM,Osmancik,0.9287356321839081,0.926605504587156,0.9276693455797933,436
Rice,Random Forest,Cammeo,0.9290322580645162,0.8834355828220859,0.9056603773584906,326
Rice,Random Forest,Osmancik,0.915929203539823,0.9495412844036697,0.9324324324324325,436
Dry Bean,RBF-SVM,BARBUNYA,0.9104477611940298,0.9207547169811321,0.9155722326454033,265
Dry Bean,RBF-SVM,BOMBAY,1.0,1.0,1.0,104
Dry Bean,RBF-SVM,CALI,0.9244712990936556,0.9386503067484663,0.9315068493150684,326
Dry Bean,RBF-SVM,DERMASON,0.93952802359882,0.8984485190409027,0.9185291997116077,709
Dry Bean,RBF-SVM,HOROZ,0.967032967032967,0.946236559139785,0.9565217391304348,372
Dry Bean,RBF-SVM,SEKER,0.930622009569378,0.958128078817734,0.9441747572815534,406
Dry Bean,RBF-SVM,SIRA,0.8644688644688645,0.8956356736242884,0.8797763280521901,527
Dry Bean,Random Forest,BARBUNYA,0.9221789883268483,0.8943396226415095,0.9080459770114943,265
Dry Bean,Random Forest,BOMBAY,1.0,1.0,1.0,104
Dry Bean,Random Forest,CALI,0.9216867469879518,0.9386503067484663,0.9300911854103343,326
Dry Bean,Random Forest,DERMASON,0.9078212290502793,0.9167842031029619,0.9122807017543859,709
Dry Bean,Random Forest,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372
Dry Bean,Random Forest,SEKER,0.9302884615384616,0.9532019704433498,0.9416058394160584,406
Dry Bean,Random Forest,SIRA,0.8653846153846154,0.8538899430740038,0.8595988538681948,527
